ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/10/2023,9/11/2023 8:35,14:15,14:30,2.282,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,14:30,14:45,2.256,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,14:45,15:00,1.689,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,15:00,15:15,1.27,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,15:15,15:30,0.907,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,15:30,15:45,1.333,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,15:45,16:00,1.1,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,16:00,16:15,1.156,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,16:15,16:30,1.056,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,16:30,16:45,1.164,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,16:45,17:00,0.909,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,17:00,17:15,1.235,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,17:15,17:30,2.096,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,17:30,17:45,1.249,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,17:45,18:00,1.274,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,18:00,18:15,1.014,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,18:15,18:30,1.475,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,18:30,18:45,1.969,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,18:45,19:00,1.192,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,19:00,19:15,0.62,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,19:15,19:30,1.142,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,19:30,19:45,0.958,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,19:45,20:00,0.873,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,20:00,20:15,0.968,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,20:15,20:30,0.957,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,20:30,20:45,0.904,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,20:45,21:00,0.864,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,21:00,21:15,0.863,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,21:15,21:30,0.853,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,21:30,21:45,0.827,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,21:45,22:00,0.797,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,22:00,22:15,1.646,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,22:15,22:30,1.524,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,22:30,22:45,1.344,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,22:45,23:00,1.05,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,23:00,23:15,1.195,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,23:15,23:30,0.939,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,23:30,23:45,1.033,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,23:45,0:00,0.816,A,Consumption
'10400515100760001,9/11/2023,9/12/2023 8:32,0:00,0:15,1.757,A,Consumption
'10400515100760001,9/11/2023,9/12/2023 8:32,0:15,0:30,0.958,A,Consumption
'10400515100760001,9/11/2023,9/12/2023 8:32,0:30,0:45,0.841,A,Consumption
'10400515100760001,9/11/2023,9/12/2023 8:32,0:45,1:00,1.003,A,Consumption
'10400515100760001,9/11/2023,9/12/2023 8:32,1:00,1:15,0.579,A,Consumption
